,0,1,2,label,title
0,1.8572791,-2.8344471,-0.6598975,4,A Poor Recipe For Civic Cohesion
1,-4.643721,3.1852112,-1.9420235,60,Soul Deep
2,6.3099213,2.6072824,0.73186636,363,It's About Time
3,2.7396212,-1.637226,-0.95489466,422,Something Girls
4,1.7999002,-2.0178301,-0.38163885,375,Burn My Body (Album Version)
5,2.234278,-1.0038447,-1.4008915,200,Face the Ashes
6,-2.210199,-6.763433,-4.576578,296,Små Ord
7,3.635688,0.12952536,-0.6159992,302,The Last Beat Of My Heart (b-side)
8,8.321444,4.6296673,3.4455714,472,The One And Only (Edited)
9,2.3702798,-1.522888,-0.9953379,385,Tungsten (only issued previously on 45)
10,-4.282573,6.092944,-0.3746926,492,King Of Scurf (2007 Digital Remaster)
11,3.526901,-0.69886714,0.031747643,101,Pink World
12,3.310211,-0.58207667,-1.2732981,416,Drown In My Own Tears (24-Bit Digitally Remastered 04)
13,6.185133,2.308409,0.9944643,305,Break My Stride
14,-6.5484905,-1.0482405,-3.620467,63,Blood In Face
15,2.5384877,-1.7280041,-0.7145198,385,A God In An Alcove (Session Version)
16,3.8031285,0.63989335,-0.9174229,329,Pink Galahs
17,-1.3734858,8.821373,1.4982775,471,Walk the Walk
18,2.4586785,-1.1329925,-1.5392294,200,Auburn and Ivory
19,4.588798,0.24779141,0.86472005,341,Tonight Will Be Alright
20,4.5442204,0.24334665,0.05027677,238,Floating
21,4.2839665,-0.19238783,3.8617325,239,Our Father
22,-4.273837,4.4419513,-1.9756058,65,One Shot (Album Version)
23,3.1675794,-0.8142711,1.8075063,358,Sex Is On Everyone's Tongue
24,5.8185596,1.6244287,0.44877303,419,Caught In A Dream
25,-6.846669,0.12930006,-2.5241044,460,Keep An Eye On Summer (Album Version)
26,5.826194,1.6669489,1.2075342,468,Setting Fire to Sleeping Giants
27,3.5838146,-0.20964248,1.6072414,358,James (Hold The Ladder Steady)
28,2.8972554,-1.2761875,0.40227884,43,Made Like This (Live)
29,3.709093,-0.6400878,1.3510908,358,Not For You
30,5.9059696,2.063484,1.6003983,30,Cradle the Crater
31,3.622831,-0.48116234,-0.2551999,101,Hypnotic Trance
32,1.1035575,-3.254955,-1.0791688,254,Double Feature
33,2.281837,-1.6747022,-0.91549486,385,Prettiest Star
34,-6.8617325,-1.9524733,2.5442889,378,Domingo astronómico
35,2.6789536,-1.8124382,0.06896339,183,My Lady (2003 Digital Remaster)
36,5.7456584,2.1387866,0.84310097,242,Seaweed
37,-9.762802,-2.9716942,6.4151115,448,Valsa Da Ana
38,-8.636451,-2.4249313,7.207586,361,La mauvaise réputation
39,-7.8424745,-1.4252738,9.657507,349,El Verdadero Culpable
40,5.98063,1.6738095,1.3765105,81,They're Coming For You
41,7.790572,3.640488,2.5669491,20,Fast Car (LP Version)
42,4.248795,0.28039852,0.13432403,133,Seek And Destroy   (Album Version)
43,0.16747911,-4.2133346,-2.593984,10,Burning In The Aftermath
44,3.4630253,-1.1190157,0.1244519,214,Crossfire
45,-5.004735,2.2587907,-2.7906713,58,Reasons (Radio Remix)
46,3.3848162,-0.9634469,-0.8162668,327,Bernadette
47,5.8090744,1.327095,2.093414,315,The Ballad Of Butter Beans
48,2.2069442,-1.1737541,-2.0481927,354,Nashville Parthenon
49,4.2017956,-0.260767,1.1345953,26,Always Be Mine
50,-6.1480007,2.4275582,-2.6403556,169,Oh God
51,-5.1240616,2.4179459,-3.1495588,58,The More I See You
52,7.455898,3.4900887,2.63501,20,Certain Things We Do
53,-4.626623,3.4196582,0.3364852,467,Vekk Meg
54,-8.805361,-6.3005323,-6.680299,441,X.plicit sentence
55,2.4963176,-0.8308941,-1.1270776,200,Life Causes Cancer
56,2.7643435,-1.053875,-1.9369676,69,Tuesday's Gone (Remastered Album Version)
57,0.708565,-3.1491177,-2.1052654,325,What If I Meet You
58,-4.696982,4.393023,-0.99144644,268,Too Much Saturn
59,4.680079,1.1103549,0.52627385,7,Ich vermiss Dich
60,4.597442,1.0965023,0.40908048,7,Hunting By Echo
61,4.9653416,0.33825582,1.0305058,78,All This Time
62,2.0699096,-1.6630373,-1.4112058,52,On The Street Where You Live (album version)
63,-6.008588,3.0733957,-1.295372,294,Fall On Me (Live)
64,3.29744,-0.9177126,-0.062354535,431,Are You Feeling Better_ Angela?
65,8.640407,4.837114,3.22286,29,One Last Time
66,-6.9239964,-2.907622,1.6976577,394,Entre Caníbales
67,-6.2715454,0.15448716,-3.6495974,345,Sold
68,4.0225487,-0.83372957,0.32384506,70,You're No Good
69,-5.8656335,0.2148064,-1.9232957,53,Lørdag Formiddag
70,-4.3499093,3.0129287,-1.8510643,357,Love Gives Love Takes ( LP Version )
71,6.9230657,3.217206,1.7431313,147,Wanna Be A Player
72,-7.8575125,-5.3544016,-1.0029798,159,Cara Al Culo
73,-7.4181232,-2.4462984,2.483663,3,Ya No Te Creo Nada
74,7.9529157,3.6976898,3.318552,201,Let's Get It Started
75,-7.9562707,-3.3680906,4.4103723,161,L'Africano
76,1.3255643,-2.7011797,-0.25846633,466,Metal
77,2.3273885,-0.75828284,-1.8291103,69,She Fell Away (2009 Digital Remaster)
78,-5.539386,3.499044,-1.2139121,194,Next Time
79,0.9168457,-2.5530388,-2.3538961,464,Puppets Of War
80,4.173058,-0.79762876,1.3027298,26,The Ghost Inside Of Me (LP Version)
81,3.234897,-0.6662184,1.2168055,284,It's My Party
82,1.2398156,-4.8673534,3.7788422,79,This Melody (Live)
83,3.5446963,-0.12943195,-0.85816413,302,Coffee Homeground
84,-4.347649,3.9228995,-1.2029457,264,You Can
85,0.039522365,-2.859652,-2.556366,313,Indian Love Call
86,3.08134,-0.6382495,-1.0876632,244,I Never Came
87,-8.140619,-3.016079,1.0941887,76,Domingo
88,0.3391318,-3.8332496,-2.4515123,456,Banjo
89,5.288965,1.2088143,0.86187124,342,Hourglass
90,-5.4031305,3.224221,-1.9040419,478,The Shake
91,-4.632753,4.96686,-0.1932207,255,Climb To Safety
92,2.4584672,-1.0125587,-1.125706,200,I'm Cool
93,3.6196778,-0.87594134,2.245044,358,Run For Your Life
94,4.7982764,1.1364443,0.03650701,223,Trusted Crown
95,4.235552,0.20550981,-0.5105083,321,Folding Stars
96,-1.2657651,-4.2295194,-3.789243,417,Love Myself Better Than You
97,4.675436,1.0632445,1.471733,430,WKYA (drop)
98,4.3386006,0.01679335,0.33728138,45,Some Bar By The Harbor
99,2.357767,-1.6797135,-0.7872029,385,Love Is Just A Mystery
100,8.293806,4.562588,3.5884848,472,Take It To Da House (Featuring The Slip N' Slide Express) (Super Clean Album Version)
101,5.286783,0.8605028,0.9311791,222,Our Day's Coming
102,5.0034103,1.0301415,1.3516264,102,Stop Stop Stop (1999 Digital Remaster)
103,-5.2557783,3.2327259,-1.6304893,478,You've Got a Friend
104,-5.1584053,2.1581528,-2.323427,413,Turns to Ashes (Album Version)
105,1.6043037,-1.8762523,-1.4895588,25,Lead Me Lord
106,1.8542885,-1.7672944,-1.5692666,25,Speed Of Sound
107,-4.171513,3.1311648,-0.92528766,2,Eve
108,1.4784049,-2.9475217,-0.9285665,254,Barracuda
109,3.7910953,0.004569751,-0.4117565,1,Bang Bang
110,7.1257524,3.004029,2.244447,134,Hate
111,-4.662769,3.4322574,-0.45463276,66,Miracle (Album Version)
112,2.1120038,-1.070665,-0.11264191,436,Life In Black
113,2.1367054,-2.6293786,-1.020161,285,I Can't Stop Loving You
114,4.994755,0.66934794,0.6061382,162,How Can You Call That Beautiful (Stewkey Vocal)
115,-4.9884305,7.441737,-0.9964632,186,Low [feat. T-Pain] [Travis Barker Remix]
116,-5.0843315,4.153998,-1.3644294,392,Me And The Farmer
